transaction_id,user_id,timestamp,amount,merchant_id,merchant_category,device_id,lat,lon,channel,account_age_days,is_fraud,fraud_type,case_id,ring_id,three_ds_result,three_ds_failures_before_result,tx_last_1min,tx_last_1hr,tx_last_24hr,count_30d,amount_zscore_30d,new_device,new_merchant,merchant_cat_freq_user,time_since_last_s,dist_from_prev_km,geo_velocity_kmh,hour_of_day,fraud_probability,predicted_fraud,detection_status,fraud_type_generator,user_id_generator,burst_size,probing_mode,device,n_transactions,auth_failures_before_success,ring_id_generator,source,pretext,transaction_attempted,transaction_completed,credential_shared,target_outcome,amount_multiplier,urgency_level,pretext_category,fallback,label
tx_000213596,1361,2026-02-19 10:34:09.398864,4284.501849890057,170,restaurant,dev_1361_0,27.584282938633912,84.40540597103683,ecom,2374,1,ai_impersonation,case_ai_impersonation_000489,,passed_first_try,0.0,0.0,1.0,2.0,38.0,1.3436286797130068,0,1,0.0,2621.0,8.290007012951525,11.386503337132961,10,0.6826319,0,MISSED,ai_impersonation,1361,,,,,,,llm,utility disconnection final notice,True,False,True,payment_attempted,4.676408032760212,high,utility disconnection final notice,False,1.0
tx_000213637,1545,2026-02-19 12:06:58.867064,3138.374340134544,88,pharmacy,dev_1545_0,14.066325150966566,74.54355228795713,ecom,120,1,ai_impersonation,case_ai_impersonation_000574,,passed_first_try,0.0,0.0,0.0,0.0,8.0,4.6791262866424,0,1,0.3125,154564.0,10.757745584611854,0.2505621238102189,12,0.46949267,0,MISSED,ai_impersonation,1545,,,,,,,llm,subscription auto-renewal dispute,True,False,False,payment_attempted,4.1715311619197255,high,subscription auto-renewal dispute,False,1.0
tx_000213623,292,2026-02-19 14:33:56.155418,10071.78687861354,76,ecommerce,dev_292_0,23.53755422104267,84.56027114640248,ecom,281,1,ai_impersonation,case_ai_impersonation_000538,,failed_then_passed,1.0,0.0,0.0,0.0,4.0,3.625287206499279,0,1,0.2222222222222222,276303.0,9.831634133903927,0.12809807668412626,14,0.9962238,1,DETECTED,ai_impersonation,292,,,,,,,llm,cryptocurrency exchange account freeze,True,False,True,payment_attempted,7.112100997601996,high,cryptocurrency exchange account freeze,False,1.0
tx_000213613,831,2026-02-21 07:33:34.281568,4423.502140908274,237,utility,dev_831_0,23.548035935641508,87.82238756018668,ecom,2731,1,ai_impersonation,case_ai_impersonation_000525,,failed_then_passed,2.0,0.0,0.0,0.0,12.0,7.316815153822506,0,1,0.08333333333333333,228533.0,4.565137875147076,0.07191301190869359,7,0.9954294,1,DETECTED,ai_impersonation,831,,,,,,,llm,landlord or rental deposit refund,True,True,False,payment_completed,5.273461942543436,high,landlord or rental deposit refund,False,1.0
tx_000213622,976,2026-02-21 18:37:53.831617,19529.497965838174,237,utility,dev_976_0,14.801882715953347,82.45350542937013,ecom,573,1,ai_impersonation,case_ai_impersonation_000536,,passed_first_try,0.0,0.0,0.0,2.0,45.0,4.098164525747832,0,1,0.11702127659574468,12906.0,11.637913841947476,3.24628001170083,18,0.8255005,0,MISSED,ai_impersonation,976,,,,,,,llm,tax authority overdue payment notice,True,True,False,payment_completed,6.967544526226988,high,tax authority overdue payment notice,False,1.0
tx_000213585,1930,2026-02-23 12:22:58.432612,8219.261623686734,210,fuel,dev_1930_0,17.584956203188447,76.34852991620066,ecom,1232,1,ai_impersonation,case_ai_impersonation_000470,,failed_then_passed,1.0,0.0,0.0,1.0,35.0,1.5986701731751514,0,1,0.1044776119402985,40579.0,10.581028961430782,0.9387048537704431,12,0.99531686,1,DETECTED,ai_impersonation,1930,,,,,,,llm,cryptocurrency exchange account freeze,True,False,True,payment_attempted,5.87335037736773,high,cryptocurrency exchange account freeze,False,1.0
tx_000213593,2556,2026-02-24 00:27:59.655892,4252.086173621504,24,pharmacy,dev_2556_0,25.05744559467932,78.01594902648647,ecom,2301,1,ai_impersonation,case_ai_impersonation_000486,,failed_then_passed,1.0,0.0,0.0,2.0,68.0,2.8223329171177847,0,1,0.13533834586466165,18703.0,5.864877075309435,1.1288861397163004,0,0.99031115,1,DETECTED,ai_impersonation,2556,,,,,,,llm,employer payroll correction request,True,True,False,payment_completed,4.993174805038848,high,employer payroll correction request,False,1.0
tx_000213633,799,2026-02-24 09:45:36.422210,10705.45897076213,198,ecommerce,dev_799_new,11.374929983272262,75.32613784617001,ecom,1101,1,ai_impersonation,case_ai_impersonation_000560,,failed_then_passed,1.0,0.0,0.0,3.0,113.0,4.8647018341015915,1,1,0.010309278350515464,9055.0,9.005356428936532,3.5802631854413596,9,0.9160158,0,MISSED,ai_impersonation,799,,,,,,,llm,utility disconnection final notice,True,False,False,payment_attempted,5.327173781882559,high,utility disconnection final notice,False,1.0
tx_000213605,1336,2026-02-25 16:50:24.063181,10084.75977576015,115,travel,dev_1336_0,18.78324710859469,78.60823664325942,ecom,2051,1,ai_impersonation,case_ai_impersonation_000505,,failed_then_passed,2.0,0.0,0.0,1.0,20.0,8.84239513136939,0,1,0.0,23625.0,1.700936847342825,0.2591903767379543,16,0.48175594,0,MISSED,ai_impersonation,1336,,,,,,,llm,cryptocurrency exchange account freeze,True,False,True,payment_attempted,7.156886236688857,high,cryptocurrency exchange account freeze,False,1.0
tx_000213621,1128,2026-02-26 14:52:34.632060,10586.22803095527,209,pharmacy,dev_1128_0,20.344162167676537,80.54579731586504,ecom,1447,1,ai_impersonation,case_ai_impersonation_000535,,failed_then_passed,1.0,0.0,1.0,3.0,73.0,1.4797927859870146,0,1,0.007194244604316547,2053.0,8.117441563378035,14.234188810599575,14,0.98969626,1,DETECTED,ai_impersonation,1128,,,,,,,llm,technical support contact,True,True,True,payment_completed,5.28793944686084,high,technical support contact,False,1.0
tx_000213568,2590,2026-02-28 11:01:07.396378,9658.753036457738,32,grocery,dev_2590_new,12.507540019829143,75.1448364989686,ecom,541,1,ai_impersonation,case_ai_impersonation_000424,,passed_first_try,0.0,0.0,0.0,0.0,30.0,3.5752485060498067,1,1,0.3018867924528302,324888.0,8.52031114024933,0.09441136670144046,11,0.9971608,1,DETECTED,ai_impersonation,2590,,,,,,,llm,romance relationship financial help,True,True,False,payment_completed,5.682150152216915,high,romance relationship financial help,False,1.0
tx_000213586,1956,2026-03-01 18:06:51.902830,5183.293992750299,172,pharmacy,dev_1956_new,11.994747073537225,81.34370447050922,ecom,2617,1,ai_impersonation,case_ai_impersonation_000473,,passed_first_try,0.0,0.0,0.0,1.0,14.0,2.364961849105228,1,1,0.35,62462.0,6.293736198730021,0.36273975081534493,18,0.964374,1,DETECTED,ai_impersonation,1956,,,,,,,llm,investment opportunity urgency,True,True,False,payment_completed,7.267876455734523,high,investment opportunity urgency,False,1.0
